Country;GDP_per_capita
Aruba;38897.12267
Africa Eastern and Southern;3726.617647
Afghanistan;2058.400221
Africa Western and Central;4115.64548
Angola;7310.896589
Albania;12770.96429
Andorra;
Arab World;14214.61302
United Arab Emirates;67183.60531
Argentina;23597.11775
Armenia;12115.13929
American Samoa;
Antigua and Barbuda;19840.28404
Australia;48398.5497
Austria;54172.98679
Azerbaijan;14121.40694
Burundi;773.5728587
Belgium;50442.27054
Benin;3044.517156
Burkina Faso;2044.386987
Bangladesh;4160.703325
Bulgaria;21469.94544
Bahrain;47709.77802
Bahamas, The;35917.75703
Bosnia and Herzegovina;13753.83744
Belarus;18356.10077
Belize;7193.63431
Bermuda;81834.95587
Bolivia;8423.697558
Brazil;14524.61354
Barbados;15789.04116
Brunei Darussalam;60994.53156
Bhutan;11142.47467
Botswana;15948.03202
Central African Republic;912.8030453
Canada;48317.17458
Central Europe and the Baltics;29901.29603
Switzerland;69103.57026
Channel Islands;
Chile;24470.70362
China;14243.53261
Cote d'Ivoire;4830.750515
Cameroon;3665.117851
Congo, Dem. Rep.;1059.810762
Congo, Rep.;4234.659883
Colombia;14171.3205
Comoros;3032.262133
Cabo Verde;6643.179892
Costa Rica;20347.03477
Caribbean small states;15737.80411
Cuba;
Curacao;25475.48966
Cayman Islands;69753.08972
Cyprus;38287.9692
Czech Republic;38824.88792
Germany;53071.45557
Djibouti;4885.205039
Dominica;11304.04333
Denmark;55356.68078
Dominican Republic;16735.36442
Algeria;11737.40124
East Asia & Pacific (excluding high income);12903.42432
Early-demographic dividend;8963.459458
East Asia & Pacific;16277.5928
Europe & Central Asia (excluding high income);21128.36207
Europe & Central Asia;34073.93754
Ecuador;11617.91222
Egypt, Arab Rep.;11014.48648
Euro area;45609.50865
Eritrea;
Spain;39528.92539
Estonia;33821.93291
Ethiopia;2021.562908
European Union;42676.6287
Fragile and conflict affected situations;4340.405075
Finland;47570.13358
Fiji;13429.30062
France;44577.06457
Faroe Islands;
Micronesia, Fed. Sts.;3490.130487
Gabon;15006.84404
United Kingdom;46372.3866
Georgia;13589.70739
Ghana;5115.90675
Gibraltar;
Guinea;2417.803795
Gambia, The;2072.646833
Guinea-Bissau;1925.237737
Equatorial Guinea;22550.95816
Greece;28604.86094
Grenada;16217.49985
Greenland;
Guatemala;8322.21681
Guam;
Guyana;12005.4051
High income;48896.61493
Hong Kong SAR, China;59849.24818
Honduras;5561.994542
Heavily indebted poor countries (HIPC);2531.424336
Croatia;27154.08469
Haiti;3153.299389
Hungary;29501.12042
IBRD only;12516.01647
IDA & IBRD total;10255.03392
IDA total;3547.704686
IDA blend;4845.825545
Indonesia;10935.63172
IDA only;2903.827029
Isle of Man;
India;6182.922109
Not classified;
Ireland;77749.20196
Iran, Islamic Rep.;14535.87358
Iraq;10526.37091
Iceland;55638.49206
Israel;39121.29583
Italy;41581.12079
Jamaica;9600.104746
Jordan;10003.57498
Japan;41505.08248
Kazakhstan;24862.96612
Kenya;4203.585011
Kyrgyz Republic;5046.691535
Cambodia;3928.373934
Kiribati;2235.70736
St. Kitts and Nevis;26982.92958
Korea, Rep.;40957.41806
Kuwait;50855.55291
Latin America & Caribbean (excluding high income);15419.8205
Lao PDR;7257.812107
Lebanon;16043.0607
Liberia;1564.197682
Libya;13238.00054
St. Lucia;14928.3961
Latin America & Caribbean;15928.5587
Least developed countries: UN classification;2861.724034
Low income;1963.591118
Liechtenstein;
Sri Lanka;12584.10479
Lower middle income;6728.309747
Low & middle income;9995.081357
Lesotho;2668.291425
Late-demographic dividend;15953.28927
Lithuania;33761.87124
Luxembourg;114985.8422
Latvia;28673.5634
Macao SAR, China;126144.1041
St. Martin (French part);
Morocco;7312.056779
Monaco;
Moldova;11651.31745
Madagascar;1584.424519
Maldives;18057.91092
Middle East & North Africa;16224.69921
Mexico;19721.26098
Marshall Islands;3711.896004
Middle income;10874.14947
North Macedonia;15706.44417
Mali;2246.797421
Malta;42644.08044
Myanmar;4224.545031
Middle East & North Africa (excluding high income);10446.03744
Montenegro;19682.2652
Mongolia;11366.30394
Northern Mariana Islands;
Mozambique;1283.65987
Mauritania;5108.549132
Mauritius;21415.11611
Malawi;1472.146868
Malaysia;26661.50742
North America;58922.11287
Namibia;10171.4215
New Caledonia;
Niger;1163.22617
Nigeria;5190.356127
Nicaragua;6004.014088
Netherlands;55088.6338
Norway;64050.75617
Nepal;3565.197807
Nauru;12975.39238
New Zealand;42285.3199
OECD members;43389.81235
Oman;33308.48431
Other small states;22637.09533
Pakistan;4571.205078
Panama;30446.84957
Peru;12506.52938
Philippines;8120.868793
Palau;17770.562
Papua New Guinea;4285.628756
Poland;30064.50348
Pre-demographic dividend;3551.543809
Puerto Rico;34363.75463
Korea, Dem. People's Rep.;
Portugal;33044.71674
Paraguay;12590.54844
West Bank and Gaza;6401.740891
Pacific island small states;7291.233373
Post-demographic dividend;47588.83084
French Polynesia;
Qatar;91738.7528
Romania;27141.90093
Russian Federation;25926.44385
Rwanda;1975.248661
South Asia;5773.980601
Saudi Arabia;47306.22232
Sudan;4598.850026
Senegal;3203.906368
Singapore;95350.43567
Solomon Islands;2663.939508
Sierra Leone;1633.730738
El Salvador;8454.052167
San Marino;58867.01336
Somalia;1079.112443
Serbia;16611.02374
Sub-Saharan Africa (excluding high income);3879.28642
South Sudan;
Sub-Saharan Africa;3881.420938
Small states;20440.67242
Sao Tome and Principe;3952.945394
Suriname;18283.68839
Slovak Republic;30061.55147
Slovenia;36507.55304
Sweden;51947.95425
Eswatini;8408.035915
Sint Maarten (Dutch part);37914.12297
Seychelles;27309.76211
Syrian Arab Republic;
Turks and Caicos Islands;27060.58966
Chad;1587.032328
East Asia & Pacific (IDA & IBRD countries);13047.0841
Europe & Central Asia (IDA & IBRD countries);21925.39727
Togo;2012.240693
Thailand;17422.95235
Tajikistan;3252.932655
Turkmenistan;14205.02651
Latin America & the Caribbean (IDA & IBRD countries);15849.08287
Timor-Leste;3177.485137
Middle East & North Africa (IDA & IBRD countries);10495.40885
Tonga;6467.124278
South Asia (IDA & IBRD);5773.980601
Sub-Saharan Africa (IDA & IBRD countries);3881.420938
Trinidad and Tobago;26342.61666
Tunisia;11234.48972
Turkey;27913.81872
Tuvalu;3896.748473
Tanzania;2530.603317
Uganda;2074.652436
Ukraine;11860.56093
Upper middle income;16203.80076
Uruguay;23009.87423
United States;60109.65573
Uzbekistan;6840.70986
St. Vincent and the Grenadines;12245.12634
Venezuela, RB;
British Virgin Islands;
Virgin Islands (U.S.);
Vietnam;7155.443187
Vanuatu;3081.835198
World;16211.04978
Samoa;6489.776786
Kosovo;10436.16885
Yemen, Rep.;
South Africa;13860.27017
Zambia;3485.02178
Zimbabwe;3795.642431
